F_val_m,sh_val,repeat_num,t_f
1.05,0,1,198
1.05,0,2,560
1.05,0,3,537
1.05,0,4,181
1.05,0,5,470
1.05,0,6,756
1.05,0,7,117
1.05,0,8,847
1.05,0,9,304
1.05,0,10,237
1.05,0,11,612
1.05,0,12,135
1.05,0,13,407
1.05,0,14,89
1.05,0,15,206
1.05,0,16,239
1.05,0,17,495
1.05,0,18,737
1.05,0,19,1339
1.05,0,20,516
1.05,0,21,1096
1.05,0,22,648
1.05,0,23,2511
1.05,0,24,217
1.05,0,25,349
1.05,0.05,1,257
1.05,0.05,2,740
1.05,0.05,3,880
1.05,0.05,4,79
1.05,0.05,5,1543
1.05,0.05,6,327
1.05,0.05,7,1530
1.05,0.05,8,799
1.05,0.05,9,612
1.05,0.05,10,2684
1.05,0.05,11,1299
1.05,0.05,12,424
1.05,0.05,13,247
1.05,0.05,14,175
1.05,0.05,15,48
1.05,0.05,16,1302
1.05,0.05,17,653
1.05,0.05,18,882
1.05,0.05,19,403
1.05,0.05,20,262
1.05,0.05,21,615
1.05,0.05,22,2035
1.05,0.05,23,498
1.05,0.05,24,115
1.05,0.05,25,450
1.05,0.1,1,3369
1.05,0.1,2,834
1.05,0.1,3,116
1.05,0.1,4,4421
1.05,0.1,5,280
1.05,0.1,6,2168
1.05,0.1,7,231
1.05,0.1,8,6165
1.05,0.1,9,1811
1.05,0.1,10,3440
1.05,0.1,11,7350
1.05,0.1,12,52
1.05,0.1,13,3781
1.05,0.1,14,191
1.05,0.1,15,5475
1.05,0.1,16,351
1.05,0.1,17,6435
1.05,0.1,18,2334
1.05,0.1,19,647
1.05,0.1,20,163
1.05,0.1,21,975
1.05,0.1,22,505
1.05,0.1,23,636
1.05,0.1,24,3053
1.05,0.1,25,8179
1.05,0.15000000000000002,1,3752
1.05,0.15000000000000002,2,20725
1.05,0.15000000000000002,3,16679
1.05,0.15000000000000002,4,1116
1.05,0.15000000000000002,5,3035
1.05,0.15000000000000002,6,8595
1.05,0.15000000000000002,7,31661
1.05,0.15000000000000002,8,11366
1.05,0.15000000000000002,9,53828
1.05,0.15000000000000002,10,2675
1.05,0.15000000000000002,11,8060
1.05,0.15000000000000002,12,1819
1.05,0.15000000000000002,13,6339
1.05,0.15000000000000002,14,15670
1.05,0.15000000000000002,15,12077
1.05,0.15000000000000002,16,15068
1.05,0.15000000000000002,17,46369
1.05,0.15000000000000002,18,11904
1.05,0.15000000000000002,19,4003
1.05,0.15000000000000002,20,39249
1.05,0.15000000000000002,21,3802
1.05,0.15000000000000002,22,1133
1.05,0.15000000000000002,23,92
1.05,0.15000000000000002,24,16199
1.05,0.15000000000000002,25,2771
1.05,0.2,1,25278
1.05,0.2,2,209028
1.05,0.2,3,19665
1.05,0.2,4,21435
1.05,0.2,5,90489
1.05,0.2,6,17738
1.05,0.2,7,79494
1.05,0.2,8,23700
1.05,0.2,9,16533
1.05,0.2,10,16460
1.05,0.2,11,12393
1.05,0.2,12,5502
1.05,0.2,13,2104
1.05,0.2,14,59139
1.05,0.2,15,202666
1.05,0.2,16,101144
1.05,0.2,17,196477
1.05,0.2,18,162792
1.05,0.2,19,63084
1.05,0.2,20,131978
1.05,0.2,21,35773
1.05,0.2,22,55171
1.05,0.2,23,193417
1.05,0.2,24,111914
1.05,0.2,25,41733
1.05,0.25,1,473368
1.05,0.25,2,300895
1.05,0.25,3,117094
1.05,0.25,4,114418
1.05,0.25,5,382663
1.05,0.25,6,475274
1.05,0.25,7,296246
1.05,0.25,8,39710
1.05,0.25,9,679080
1.05,0.25,10,771721
1.05,0.25,11,3521399
1.05,0.25,12,1832439
1.05,0.25,13,50138
1.05,0.25,14,96038
1.05,0.25,15,16857
1.05,0.25,16,482599
1.05,0.25,17,66285
1.05,0.25,18,2015135
1.05,0.25,19,820735
1.05,0.25,20,113970
1.05,0.25,21,102461
1.05,0.25,22,238509
1.05,0.25,23,918629
1.05,0.25,24,2535651
1.05,0.25,25,278256
1.05,0.30000000000000004,1,2032309
1.05,0.30000000000000004,2,11805588
1.05,0.30000000000000004,3,3502367
1.05,0.30000000000000004,4,1150720
1.05,0.30000000000000004,5,19924970
1.05,0.30000000000000004,6,4488397
1.05,0.30000000000000004,7,1474062
1.05,0.30000000000000004,8,16833033
1.05,0.30000000000000004,9,95245
1.05,0.30000000000000004,10,5343802
1.05,0.30000000000000004,11,6786055
1.05,0.30000000000000004,12,11364281
1.05,0.30000000000000004,13,12180061
1.05,0.30000000000000004,14,68700
1.05,0.30000000000000004,15,4601124
1.05,0.30000000000000004,16,3042249
1.05,0.30000000000000004,17,4803959
1.05,0.30000000000000004,18,5764234
1.05,0.30000000000000004,19,2486749
1.05,0.30000000000000004,20,17754914
1.05,0.30000000000000004,21,12195752
1.05,0.30000000000000004,22,8915570
1.05,0.30000000000000004,23,8838321
1.05,0.30000000000000004,24,10293686
1.05,0.30000000000000004,25,28626438
1.05,0.35,1,46384946
1.05,0.35,2,26149606
1.05,0.35,3,117255792
1.05,0.35,4,102356929
1.05,0.35,5,66008598
1.05,0.35,6,120357800
1.05,0.35,7,343010258
1.05,0.35,8,307489285
1.05,0.35,9,279550054
1.05,0.35,10,232447781
1.05,0.35,11,187649876
1.05,0.35,12,166433028
1.05,0.35,13,176320529
1.05,0.35,14,185424013
1.05,0.35,15,29830548
1.05,0.35,16,134817875
1.05,0.35,17,38566237
1.05,0.35,18,74215273
1.05,0.35,19,475884738
1.05,0.35,20,9773412
1.05,0.35,21,202207693
1.05,0.35,22,315916876
1.05,0.35,23,402499236
1.05,0.35,24,289456165
1.05,0.35,25,214827291
