F_val_m,mu_m,sh_val,repeat_num,t_f
0.8,0.01,0,1,24
0.8,0.01,0,2,12
0.8,0.01,0,3,21
0.8,0.01,0,4,26
0.8,0.01,0,5,27
0.8,0.01,0,6,25
0.8,0.01,0,7,27
0.8,0.01,0,8,35
0.8,0.01,0,9,27
0.8,0.01,0,10,14
0.8,0.01,0,11,24
0.8,0.01,0,12,26
0.8,0.01,0,13,22
0.8,0.01,0,14,25
0.8,0.01,0,15,31
0.8,0.01,0,16,18
0.8,0.01,0,17,33
0.8,0.01,0,18,14
0.8,0.01,0,19,21
0.8,0.01,0,20,35
0.8,0.01,0,21,30
0.8,0.01,0,22,25
0.8,0.01,0,23,49
0.8,0.01,0,24,33
0.8,0.01,0,25,28
0.8,0.02,0,1,21
0.8,0.02,0,2,34
0.8,0.02,0,3,57
0.8,0.02,0,4,29
0.8,0.02,0,5,28
0.8,0.02,0,6,34
0.8,0.02,0,7,31
0.8,0.02,0,8,27
0.8,0.02,0,9,25
0.8,0.02,0,10,18
0.8,0.02,0,11,19
0.8,0.02,0,12,24
0.8,0.02,0,13,36
0.8,0.02,0,14,24
0.8,0.02,0,15,18
0.8,0.02,0,16,42
0.8,0.02,0,17,31
0.8,0.02,0,18,19
0.8,0.02,0,19,38
0.8,0.02,0,20,26
0.8,0.02,0,21,36
0.8,0.02,0,22,36
0.8,0.02,0,23,24
0.8,0.02,0,24,18
0.8,0.02,0,25,25
0.8,0.03,0,1,19
0.8,0.03,0,2,54
0.8,0.03,0,3,10
0.8,0.03,0,4,29
0.8,0.03,0,5,31
0.8,0.03,0,6,22
0.8,0.03,0,7,22
0.8,0.03,0,8,22
0.8,0.03,0,9,34
0.8,0.03,0,10,23
0.8,0.03,0,11,26
0.8,0.03,0,12,23
0.8,0.03,0,13,30
0.8,0.03,0,14,19
0.8,0.03,0,15,25
0.8,0.03,0,16,25
0.8,0.03,0,17,23
0.8,0.03,0,18,51
0.8,0.03,0,19,26
0.8,0.03,0,20,15
0.8,0.03,0,21,15
0.8,0.03,0,22,10
0.8,0.03,0,23,51
0.8,0.03,0,24,26
0.8,0.03,0,25,37
0.8,0.04,0,1,16
0.8,0.04,0,2,20
0.8,0.04,0,3,24
0.8,0.04,0,4,29
0.8,0.04,0,5,20
0.8,0.04,0,6,20
0.8,0.04,0,7,12
0.8,0.04,0,8,25
0.8,0.04,0,9,22
0.8,0.04,0,10,23
0.8,0.04,0,11,24
0.8,0.04,0,12,22
0.8,0.04,0,13,12
0.8,0.04,0,14,16
0.8,0.04,0,15,21
0.8,0.04,0,16,43
0.8,0.04,0,17,18
0.8,0.04,0,18,27
0.8,0.04,0,19,17
0.8,0.04,0,20,27
0.8,0.04,0,21,51
0.8,0.04,0,22,17
0.8,0.04,0,23,24
0.8,0.04,0,24,33
0.8,0.04,0,25,20
0.8,0.05,0,1,27
0.8,0.05,0,2,18
0.8,0.05,0,3,32
0.8,0.05,0,4,29
0.8,0.05,0,5,34
0.8,0.05,0,6,33
0.8,0.05,0,7,12
0.8,0.05,0,8,22
0.8,0.05,0,9,32
0.8,0.05,0,10,24
0.8,0.05,0,11,23
0.8,0.05,0,12,33
0.8,0.05,0,13,28
0.8,0.05,0,14,12
0.8,0.05,0,15,13
0.8,0.05,0,16,28
0.8,0.05,0,17,30
0.8,0.05,0,18,18
0.8,0.05,0,19,21
0.8,0.05,0,20,31
0.8,0.05,0,21,32
0.8,0.05,0,22,26
0.8,0.05,0,23,23
0.8,0.05,0,24,20
0.8,0.05,0,25,23
0.8,0.060000000000000005,0,1,28
0.8,0.060000000000000005,0,2,28
0.8,0.060000000000000005,0,3,33
0.8,0.060000000000000005,0,4,34
0.8,0.060000000000000005,0,5,24
0.8,0.060000000000000005,0,6,21
0.8,0.060000000000000005,0,7,21
0.8,0.060000000000000005,0,8,26
0.8,0.060000000000000005,0,9,20
0.8,0.060000000000000005,0,10,13
0.8,0.060000000000000005,0,11,31
0.8,0.060000000000000005,0,12,23
0.8,0.060000000000000005,0,13,26
0.8,0.060000000000000005,0,14,41
0.8,0.060000000000000005,0,15,17
0.8,0.060000000000000005,0,16,47
0.8,0.060000000000000005,0,17,20
0.8,0.060000000000000005,0,18,26
0.8,0.060000000000000005,0,19,24
0.8,0.060000000000000005,0,20,30
0.8,0.060000000000000005,0,21,33
0.8,0.060000000000000005,0,22,35
0.8,0.060000000000000005,0,23,19
0.8,0.060000000000000005,0,24,23
0.8,0.060000000000000005,0,25,22
0.8,0.06999999999999999,0,1,13
0.8,0.06999999999999999,0,2,18
0.8,0.06999999999999999,0,3,15
0.8,0.06999999999999999,0,4,23
0.8,0.06999999999999999,0,5,17
0.8,0.06999999999999999,0,6,33
0.8,0.06999999999999999,0,7,25
0.8,0.06999999999999999,0,8,27
0.8,0.06999999999999999,0,9,12
0.8,0.06999999999999999,0,10,13
0.8,0.06999999999999999,0,11,23
0.8,0.06999999999999999,0,12,31
0.8,0.06999999999999999,0,13,28
0.8,0.06999999999999999,0,14,14
0.8,0.06999999999999999,0,15,24
0.8,0.06999999999999999,0,16,17
0.8,0.06999999999999999,0,17,29
0.8,0.06999999999999999,0,18,28
0.8,0.06999999999999999,0,19,38
0.8,0.06999999999999999,0,20,14
0.8,0.06999999999999999,0,21,17
0.8,0.06999999999999999,0,22,19
0.8,0.06999999999999999,0,23,10
0.8,0.06999999999999999,0,24,27
0.8,0.06999999999999999,0,25,22
0.8,0.08,0,1,24
0.8,0.08,0,2,24
0.8,0.08,0,3,24
0.8,0.08,0,4,30
0.8,0.08,0,5,30
0.8,0.08,0,6,15
0.8,0.08,0,7,20
0.8,0.08,0,8,19
0.8,0.08,0,9,21
0.8,0.08,0,10,20
0.8,0.08,0,11,22
0.8,0.08,0,12,16
0.8,0.08,0,13,14
0.8,0.08,0,14,13
0.8,0.08,0,15,36
0.8,0.08,0,16,20
0.8,0.08,0,17,26
0.8,0.08,0,18,37
0.8,0.08,0,19,10
0.8,0.08,0,20,21
0.8,0.08,0,21,16
0.8,0.08,0,22,15
0.8,0.08,0,23,21
0.8,0.08,0,24,19
0.8,0.08,0,25,20
0.9,0.01,0,1,55
0.9,0.01,0,2,23
0.9,0.01,0,3,114
0.9,0.01,0,4,99
0.9,0.01,0,5,79
0.9,0.01,0,6,27
0.9,0.01,0,7,70
0.9,0.01,0,8,43
0.9,0.01,0,9,56
0.9,0.01,0,10,68
0.9,0.01,0,11,57
0.9,0.01,0,12,63
0.9,0.01,0,13,28
0.9,0.01,0,14,52
0.9,0.01,0,15,68
0.9,0.01,0,16,34
0.9,0.01,0,17,38
0.9,0.01,0,18,32
0.9,0.01,0,19,29
0.9,0.01,0,20,55
0.9,0.01,0,21,76
0.9,0.01,0,22,21
0.9,0.01,0,23,27
0.9,0.01,0,24,59
0.9,0.01,0,25,55
0.9,0.02,0,1,37
0.9,0.02,0,2,40
0.9,0.02,0,3,28
0.9,0.02,0,4,130
0.9,0.02,0,5,39
0.9,0.02,0,6,34
0.9,0.02,0,7,105
0.9,0.02,0,8,44
0.9,0.02,0,9,25
0.9,0.02,0,10,33
0.9,0.02,0,11,36
0.9,0.02,0,12,17
0.9,0.02,0,13,85
0.9,0.02,0,14,87
0.9,0.02,0,15,37
0.9,0.02,0,16,56
0.9,0.02,0,17,35
0.9,0.02,0,18,57
0.9,0.02,0,19,148
0.9,0.02,0,20,49
0.9,0.02,0,21,19
0.9,0.02,0,22,37
0.9,0.02,0,23,36
0.9,0.02,0,24,72
0.9,0.02,0,25,54
0.9,0.03,0,1,56
0.9,0.03,0,2,84
0.9,0.03,0,3,51
0.9,0.03,0,4,56
0.9,0.03,0,5,32
0.9,0.03,0,6,33
0.9,0.03,0,7,27
0.9,0.03,0,8,14
0.9,0.03,0,9,48
0.9,0.03,0,10,64
0.9,0.03,0,11,31
0.9,0.03,0,12,33
0.9,0.03,0,13,42
0.9,0.03,0,14,49
0.9,0.03,0,15,62
0.9,0.03,0,16,28
0.9,0.03,0,17,40
0.9,0.03,0,18,94
0.9,0.03,0,19,37
0.9,0.03,0,20,31
0.9,0.03,0,21,32
0.9,0.03,0,22,52
0.9,0.03,0,23,23
0.9,0.03,0,24,44
0.9,0.03,0,25,41
0.9,0.04,0,1,47
0.9,0.04,0,2,20
0.9,0.04,0,3,46
0.9,0.04,0,4,31
0.9,0.04,0,5,97
0.9,0.04,0,6,29
0.9,0.04,0,7,28
0.9,0.04,0,8,50
0.9,0.04,0,9,49
0.9,0.04,0,10,33
0.9,0.04,0,11,65
0.9,0.04,0,12,35
0.9,0.04,0,13,28
0.9,0.04,0,14,26
0.9,0.04,0,15,65
0.9,0.04,0,16,28
0.9,0.04,0,17,46
0.9,0.04,0,18,36
0.9,0.04,0,19,70
0.9,0.04,0,20,44
0.9,0.04,0,21,38
0.9,0.04,0,22,57
0.9,0.04,0,23,35
0.9,0.04,0,24,23
0.9,0.04,0,25,54
0.9,0.05,0,1,34
0.9,0.05,0,2,41
0.9,0.05,0,3,33
0.9,0.05,0,4,20
0.9,0.05,0,5,23
0.9,0.05,0,6,28
0.9,0.05,0,7,30
0.9,0.05,0,8,28
0.9,0.05,0,9,13
0.9,0.05,0,10,78
0.9,0.05,0,11,37
0.9,0.05,0,12,50
0.9,0.05,0,13,35
0.9,0.05,0,14,60
0.9,0.05,0,15,45
0.9,0.05,0,16,39
0.9,0.05,0,17,29
0.9,0.05,0,18,59
0.9,0.05,0,19,50
0.9,0.05,0,20,57
0.9,0.05,0,21,38
0.9,0.05,0,22,34
0.9,0.05,0,23,95
0.9,0.05,0,24,52
0.9,0.05,0,25,26
0.9,0.060000000000000005,0,1,25
0.9,0.060000000000000005,0,2,25
0.9,0.060000000000000005,0,3,39
0.9,0.060000000000000005,0,4,52
0.9,0.060000000000000005,0,5,25
0.9,0.060000000000000005,0,6,44
0.9,0.060000000000000005,0,7,31
0.9,0.060000000000000005,0,8,35
0.9,0.060000000000000005,0,9,41
0.9,0.060000000000000005,0,10,22
0.9,0.060000000000000005,0,11,83
0.9,0.060000000000000005,0,12,58
0.9,0.060000000000000005,0,13,17
0.9,0.060000000000000005,0,14,28
0.9,0.060000000000000005,0,15,32
0.9,0.060000000000000005,0,16,58
0.9,0.060000000000000005,0,17,23
0.9,0.060000000000000005,0,18,25
0.9,0.060000000000000005,0,19,50
0.9,0.060000000000000005,0,20,58
0.9,0.060000000000000005,0,21,79
0.9,0.060000000000000005,0,22,39
0.9,0.060000000000000005,0,23,88
0.9,0.060000000000000005,0,24,44
0.9,0.060000000000000005,0,25,22
0.9,0.06999999999999999,0,1,38
0.9,0.06999999999999999,0,2,40
0.9,0.06999999999999999,0,3,74
0.9,0.06999999999999999,0,4,37
0.9,0.06999999999999999,0,5,55
0.9,0.06999999999999999,0,6,17
0.9,0.06999999999999999,0,7,50
0.9,0.06999999999999999,0,8,53
0.9,0.06999999999999999,0,9,37
0.9,0.06999999999999999,0,10,26
0.9,0.06999999999999999,0,11,88
0.9,0.06999999999999999,0,12,48
0.9,0.06999999999999999,0,13,38
0.9,0.06999999999999999,0,14,61
0.9,0.06999999999999999,0,15,20
0.9,0.06999999999999999,0,16,46
0.9,0.06999999999999999,0,17,20
0.9,0.06999999999999999,0,18,36
0.9,0.06999999999999999,0,19,53
0.9,0.06999999999999999,0,20,26
0.9,0.06999999999999999,0,21,27
0.9,0.06999999999999999,0,22,23
0.9,0.06999999999999999,0,23,17
0.9,0.06999999999999999,0,24,26
0.9,0.06999999999999999,0,25,44
0.9,0.08,0,1,35
0.9,0.08,0,2,59
0.9,0.08,0,3,87
0.9,0.08,0,4,33
0.9,0.08,0,5,18
0.9,0.08,0,6,27
0.9,0.08,0,7,22
0.9,0.08,0,8,51
0.9,0.08,0,9,32
0.9,0.08,0,10,52
0.9,0.08,0,11,33
0.9,0.08,0,12,59
0.9,0.08,0,13,31
0.9,0.08,0,14,24
0.9,0.08,0,15,24
0.9,0.08,0,16,50
0.9,0.08,0,17,47
0.9,0.08,0,18,41
0.9,0.08,0,19,78
0.9,0.08,0,20,40
0.9,0.08,0,21,37
0.9,0.08,0,22,31
0.9,0.08,0,23,45
0.9,0.08,0,24,38
0.9,0.08,0,25,31
1,0.01,0,1,243
1,0.01,0,2,29
1,0.01,0,3,146
1,0.01,0,4,275
1,0.01,0,5,552
1,0.01,0,6,108
1,0.01,0,7,85
1,0.01,0,8,395
1,0.01,0,9,390
1,0.01,0,10,194
1,0.01,0,11,812
1,0.01,0,12,867
1,0.01,0,13,406
1,0.01,0,14,246
1,0.01,0,15,114
1,0.01,0,16,62
1,0.01,0,17,132
1,0.01,0,18,590
1,0.01,0,19,92
1,0.01,0,20,82
1,0.01,0,21,825
1,0.01,0,22,652
1,0.01,0,23,506
1,0.01,0,24,317
1,0.01,0,25,388
1,0.02,0,1,76
1,0.02,0,2,210
1,0.02,0,3,201
1,0.02,0,4,162
1,0.02,0,5,92
1,0.02,0,6,109
1,0.02,0,7,187
1,0.02,0,8,352
1,0.02,0,9,51
1,0.02,0,10,154
1,0.02,0,11,236
1,0.02,0,12,189
1,0.02,0,13,300
1,0.02,0,14,208
1,0.02,0,15,241
1,0.02,0,16,57
1,0.02,0,17,85
1,0.02,0,18,83
1,0.02,0,19,108
1,0.02,0,20,76
1,0.02,0,21,366
1,0.02,0,22,395
1,0.02,0,23,121
1,0.02,0,24,54
1,0.02,0,25,85
1,0.03,0,1,173
1,0.03,0,2,101
1,0.03,0,3,112
1,0.03,0,4,167
1,0.03,0,5,38
1,0.03,0,6,115
1,0.03,0,7,70
1,0.03,0,8,208
1,0.03,0,9,253
1,0.03,0,10,153
1,0.03,0,11,469
1,0.03,0,12,104
1,0.03,0,13,185
1,0.03,0,14,88
1,0.03,0,15,65
1,0.03,0,16,198
1,0.03,0,17,33
1,0.03,0,18,57
1,0.03,0,19,339
1,0.03,0,20,92
1,0.03,0,21,510
1,0.03,0,22,60
1,0.03,0,23,364
1,0.03,0,24,74
1,0.03,0,25,113
1,0.04,0,1,127
1,0.04,0,2,118
1,0.04,0,3,40
1,0.04,0,4,99
1,0.04,0,5,113
1,0.04,0,6,109
1,0.04,0,7,311
1,0.04,0,8,33
1,0.04,0,9,132
1,0.04,0,10,213
1,0.04,0,11,264
1,0.04,0,12,113
1,0.04,0,13,150
1,0.04,0,14,270
1,0.04,0,15,247
1,0.04,0,16,73
1,0.04,0,17,59
1,0.04,0,18,91
1,0.04,0,19,156
1,0.04,0,20,75
1,0.04,0,21,123
1,0.04,0,22,86
1,0.04,0,23,198
1,0.04,0,24,186
1,0.04,0,25,72
1,0.05,0,1,60
1,0.05,0,2,232
1,0.05,0,3,118
1,0.05,0,4,131
1,0.05,0,5,196
1,0.05,0,6,148
1,0.05,0,7,43
1,0.05,0,8,168
1,0.05,0,9,148
1,0.05,0,10,231
1,0.05,0,11,181
1,0.05,0,12,73
1,0.05,0,13,211
1,0.05,0,14,32
1,0.05,0,15,94
1,0.05,0,16,41
1,0.05,0,17,56
1,0.05,0,18,36
1,0.05,0,19,64
1,0.05,0,20,35
1,0.05,0,21,94
1,0.05,0,22,97
1,0.05,0,23,90
1,0.05,0,24,161
1,0.05,0,25,111
1,0.060000000000000005,0,1,35
1,0.060000000000000005,0,2,69
1,0.060000000000000005,0,3,202
1,0.060000000000000005,0,4,69
1,0.060000000000000005,0,5,79
1,0.060000000000000005,0,6,92
1,0.060000000000000005,0,7,98
1,0.060000000000000005,0,8,82
1,0.060000000000000005,0,9,32
1,0.060000000000000005,0,10,172
1,0.060000000000000005,0,11,43
1,0.060000000000000005,0,12,177
1,0.060000000000000005,0,13,187
1,0.060000000000000005,0,14,125
1,0.060000000000000005,0,15,167
1,0.060000000000000005,0,16,62
1,0.060000000000000005,0,17,122
1,0.060000000000000005,0,18,167
1,0.060000000000000005,0,19,125
1,0.060000000000000005,0,20,71
1,0.060000000000000005,0,21,76
1,0.060000000000000005,0,22,47
1,0.060000000000000005,0,23,133
1,0.060000000000000005,0,24,52
1,0.060000000000000005,0,25,68
1,0.06999999999999999,0,1,199
1,0.06999999999999999,0,2,138
1,0.06999999999999999,0,3,169
1,0.06999999999999999,0,4,71
1,0.06999999999999999,0,5,25
1,0.06999999999999999,0,6,50
1,0.06999999999999999,0,7,95
1,0.06999999999999999,0,8,142
1,0.06999999999999999,0,9,147
1,0.06999999999999999,0,10,41
1,0.06999999999999999,0,11,319
1,0.06999999999999999,0,12,38
1,0.06999999999999999,0,13,293
1,0.06999999999999999,0,14,146
1,0.06999999999999999,0,15,105
1,0.06999999999999999,0,16,213
1,0.06999999999999999,0,17,39
1,0.06999999999999999,0,18,79
1,0.06999999999999999,0,19,135
1,0.06999999999999999,0,20,90
1,0.06999999999999999,0,21,64
1,0.06999999999999999,0,22,23
1,0.06999999999999999,0,23,88
1,0.06999999999999999,0,24,165
1,0.06999999999999999,0,25,21
1,0.08,0,1,50
1,0.08,0,2,66
1,0.08,0,3,101
1,0.08,0,4,91
1,0.08,0,5,128
1,0.08,0,6,177
1,0.08,0,7,44
1,0.08,0,8,70
1,0.08,0,9,88
1,0.08,0,10,77
1,0.08,0,11,78
1,0.08,0,12,42
1,0.08,0,13,149
1,0.08,0,14,38
1,0.08,0,15,68
1,0.08,0,16,64
1,0.08,0,17,16
1,0.08,0,18,71
1,0.08,0,19,100
1,0.08,0,20,59
1,0.08,0,21,126
1,0.08,0,22,36
1,0.08,0,23,127
1,0.08,0,24,151
1,0.08,0,25,56
1.1,0.01,0,1,104962
1.1,0.01,0,2,48868
1.1,0.01,0,3,249623
1.1,0.01,0,4,72334
1.1,0.01,0,5,64603
1.1,0.01,0,6,15896
1.1,0.01,0,7,34618
1.1,0.01,0,8,267931
1.1,0.01,0,9,119479
1.1,0.01,0,10,92207
1.1,0.01,0,11,20939
1.1,0.01,0,12,77152
1.1,0.01,0,13,21267
1.1,0.01,0,14,52869
1.1,0.01,0,15,67613
1.1,0.01,0,16,46642
1.1,0.01,0,17,20434
1.1,0.01,0,18,13526
1.1,0.01,0,19,105974
1.1,0.01,0,20,119216
1.1,0.01,0,21,24704
1.1,0.01,0,22,157846
1.1,0.01,0,23,218986
1.1,0.01,0,24,334251
1.1,0.01,0,25,235185
1.1,0.02,0,1,1908
1.1,0.02,0,2,18592
1.1,0.02,0,3,10597
1.1,0.02,0,4,30647
1.1,0.02,0,5,100549
1.1,0.02,0,6,2156
1.1,0.02,0,7,31846
1.1,0.02,0,8,6739
1.1,0.02,0,9,106281
1.1,0.02,0,10,45197
1.1,0.02,0,11,18849
1.1,0.02,0,12,39889
1.1,0.02,0,13,98440
1.1,0.02,0,14,12397
1.1,0.02,0,15,37151
1.1,0.02,0,16,42016
1.1,0.02,0,17,24703
1.1,0.02,0,18,58252
1.1,0.02,0,19,8355
1.1,0.02,0,20,21518
1.1,0.02,0,21,33438
1.1,0.02,0,22,52651
1.1,0.02,0,23,126060
1.1,0.02,0,24,20616
1.1,0.02,0,25,195498
1.1,0.03,0,1,2731
1.1,0.03,0,2,6403
1.1,0.03,0,3,1505
1.1,0.03,0,4,3663
1.1,0.03,0,5,36949
1.1,0.03,0,6,5092
1.1,0.03,0,7,2384
1.1,0.03,0,8,21561
1.1,0.03,0,9,4675
1.1,0.03,0,10,2390
1.1,0.03,0,11,401
1.1,0.03,0,12,18608
1.1,0.03,0,13,20683
1.1,0.03,0,14,9907
1.1,0.03,0,15,5653
1.1,0.03,0,16,13813
1.1,0.03,0,17,890
1.1,0.03,0,18,25930
1.1,0.03,0,19,8384
1.1,0.03,0,20,2712
